iter	RMSE
0	1658.549263
1	1613.792009
2	1575.405836
3	1536.377428
4	1502.494236
5	1473.380853
6	1442.179656
7	1412.652978
8	1385.253874
9	1360.145766
10	1340.779541
11	1318.850737
12	1298.678998
13	1280.926925
14	1264.292683
15	1247.841813
16	1234.174954
17	1220.307401
18	1207.259309
19	1196.275054
20	1185.938513
21	1176.114978
22	1167.451688
23	1159.654153
24	1152.128408
25	1145.475231
26	1139.449937
27	1133.562337
28	1128.676794
29	1124.124569
30	1119.7825
31	1115.884397
32	1112.044277
33	1108.245712
34	1104.997947
35	1102.375632
36	1099.950458
37	1097.535722
38	1095.33434
39	1093.202884
40	1091.193207
41	1089.759368
42	1088.079012
43	1086.547869
44	1084.847059
45	1083.408298
46	1082.361055
47	1080.888322
48	1079.908659
49	1078.862419
50	1077.907616
51	1076.897469
52	1076.057639
53	1075.42904
54	1074.658575
55	1073.75201
56	1072.926449
57	1072.364182
58	1071.692121
59	1071.042831
60	1070.440398
61	1069.965916
62	1069.455814
63	1068.952908
64	1068.548412
65	1068.000609
66	1067.539447
67	1067.01838
68	1066.624046
69	1066.24132
70	1065.844643
71	1065.288626
72	1065.014143
73	1064.633672
74	1064.272887
75	1063.662413
76	1063.326291
77	1062.937549
78	1062.628392
79	1062.176377
80	1061.675889
81	1061.416709
82	1061.095108
83	1060.773926
84	1060.55488
85	1060.161727
86	1059.774391
87	1059.609203
88	1059.289192
89	1059.19003
90	1058.768266
91	1058.359241
92	1058.096648
93	1057.706336
94	1057.510904
95	1057.063774
96	1056.716652
97	1056.320091
98	1055.952979
99	1055.754683
