iter	Passed	Remaining
0	2	295
1	7	355
2	10	350
3	14	350
4	17	341
5	20	325
6	24	324
7	27	319
8	31	314
9	34	309
10	36	296
11	40	297
12	60	403
13	63	392
14	67	382
15	71	373
16	74	363
17	77	354
18	81	346
19	84	337
20	87	330
21	91	323
22	94	316
23	97	309
24	101	303
25	104	298
26	108	292
27	111	286
28	114	280
29	117	274
30	121	269
31	124	264
32	127	259
33	130	254
34	134	249
35	137	244
36	140	239
37	144	235
38	147	230
39	150	226
40	153	221
41	156	215
42	159	211
43	162	207
44	166	202
45	169	198
46	172	194
47	175	190
48	178	186
49	182	182
50	185	178
51	188	174
52	192	170
53	195	166
54	199	162
55	202	159
56	205	154
57	210	152
58	214	149
59	218	145
60	221	141
61	225	138
62	228	134
63	232	130
64	235	126
65	239	123
66	252	124
67	257	121
68	260	117
69	273	117
70	276	112
71	280	108
72	283	104
73	286	100
74	289	96
75	293	92
76	296	88
77	300	84
78	303	80
79	306	76
80	310	72
81	313	68
82	316	64
83	319	60
84	322	56
85	326	53
86	329	49
87	332	45
88	336	41
89	339	37
90	343	33
91	353	30
92	356	26
93	360	22
94	363	19
95	366	15
96	370	11
97	373	7
98	377	3
99	380	0
